species_id	species_code	species_name	binding_affinity
1	human	人类	185.0100
1	human	人类	185.0100
1	human	人类	209.9800
1	human	人类	210.9900
1	human	人类	196.0100
1	human	人类	162.0100
1	human	人类	162.0000
1	human	人类	162.0000
1	human	人类	161.9900
1	human	人类	161.9900
1	human	人类	161.9900
1	human	人类	161.9900
1	human	人类	238.0100
1	human	人类	202.0100
1	human	人类	213.0100
1	human	人类	198.0000
1	human	人类	222.9900
1	human	人类	173.9900
1	human	人类	166.0000
1	human	人类	201.0000
1	human	人类	203.0100
1	human	人类	178.0100
1	human	人类	185.0000
1	human	人类	176.0000
1	human	人类	186.0100
1	human	人类	168.0000
1	human	人类	188.9900
1	human	人类	211.0100
1	human	人类	200.9900
1	human	人类	223.0000
1	human	人类	217.9800
1	human	人类	203.9900
1	human	人类	197.0000
1	human	人类	179.9900
1	human	人类	187.0000
1	human	人类	200.0100
1	human	人类	202.0100
1	human	人类	187.9900
1	human	人类	194.0000
1	human	人类	203.0000
1	human	人类	197.0200
1	human	人类	178.0000
1	human	人类	193.9900
1	human	人类	161.0100
1	human	人类	178.0000
1	human	人类	180.9900
1	human	人类	167.0000
1	human	人类	160.9900
1	human	人类	192.9900
1	human	人类	213.9900
1	human	人类	218.9900
1	human	人类	190.0000
1	human	人类	174.0000
1	human	人类	202.0100
1	human	人类	226.9900
1	human	人类	207.0000
1	human	人类	226.0100
1	human	人类	173.9900
1	human	人类	207.0000
1	human	人类	163.0100
1	human	人类	239.0100
1	human	人类	171.9900
1	human	人类	207.0000
1	human	人类	207.0000
1	human	人类	201.0100
1	human	人类	193.0100
1	human	人类	166.0000
1	human	人类	181.0000
1	human	人类	222.9900
1	human	人类	187.0000
1	human	人类	175.0100
1	human	人类	201.0000
1	human	人类	176.9900
1	human	人类	173.0000
1	human	人类	195.0100
1	human	人类	201.0000
1	human	人类	166.9900
1	human	人类	190.0000
1	human	人类	180.0000
1	human	人类	198.0100
1	human	人类	224.0200
1	human	人类	370.9900
1	human	人类	178.9900
1	human	人类	249.9900
1	human	人类	230.0100
1	human	人类	160.0000
1	human	人类	160.0000
1	human	人类	160.0000
1	human	人类	159.9900
1	human	人类	159.9900
1	human	人类	226.0100
1	human	人类	209.0100
1	human	人类	341.9900
1	human	人类	214.9900
1	human	人类	178.9900
1	human	人类	205.9900
1	human	人类	195.9900
1	human	人类	212.0100
1	human	人类	206.0100
1	human	人类	202.0000
1	human	人类	235.0000
1	human	人类	200.0000
1	human	人类	173.0000
1	human	人类	208.9900
1	human	人类	274.0000
1	human	人类	196.9800
1	human	人类	172.0000
1	human	人类	165.9900
1	human	人类	204.0200
1	human	人类	197.9900
1	human	人类	211.9900
1	human	人类	186.9900
1	human	人类	178.0100
1	human	人类	201.0100
1	human	人类	204.0100
1	human	人类	198.9900
1	human	人类	185.0100
1	human	人类	198.0200
1	human	人类	201.0100
1	human	人类	203.0100
1	human	人类	240.9900
1	human	人类	179.9900
1	human	人类	191.0000
1	human	人类	198.0100
1	human	人类	182.9900
1	human	人类	200.0000
1	human	人类	200.0000
1	human	人类	176.9900
1	human	人类	179.9900
1	human	人类	190.0000
1	human	人类	249.9800
1	human	人类	159.0100
1	human	人类	159.0100
1	human	人类	159.0100
1	human	人类	159.0000
1	human	人类	159.0000
1	human	人类	260.9900
